county,candidate,party,votes,votesm
Autauga,Bernie Sanders,Democrat,544,0.544
Autauga,Hillary Clinton,Democrat,2387,2.387
Baldwin,Bernie Sanders,Democrat,2694,2.694
Baldwin,Hillary Clinton,Democrat,5290,5.29
Barbour,Bernie Sanders,Democrat,222,0.222
Barbour,Hillary Clinton,Democrat,2567,2.567
Bibb,Bernie Sanders,Democrat,246,0.246
Bibb,Hillary Clinton,Democrat,942,0.942
Blount,Bernie Sanders,Democrat,395,0.395
Blount,Hillary Clinton,Democrat,564,0.564
Bullock,Bernie Sanders,Democrat,178,0.178
Bullock,Hillary Clinton,Democrat,2451,2.451
Butler,Bernie Sanders,Democrat,156,0.156
Butler,Hillary Clinton,Democrat,2196,2.196
Calhoun,Bernie Sanders,Democrat,1425,1.425
Calhoun,Hillary Clinton,Democrat,5011,5.011
Chambers,Bernie Sanders,Democrat,312,0.312
Chambers,Hillary Clinton,Democrat,2899,2.899
Cherokee,Bernie Sanders,Democrat,268,0.268
Cherokee,Hillary Clinton,Democrat,712,0.712
Chilton,Bernie Sanders,Democrat,289,0.289
Chilton,Hillary Clinton,Democrat,860,0.86
Choctaw,Bernie Sanders,Democrat,273,0.273
Choctaw,Hillary Clinton,Democrat,1772,1.772
Clarke,Bernie Sanders,Democrat,213,0.213
Clarke,Hillary Clinton,Democrat,3148,3.148
Clay,Bernie Sanders,Democrat,135,0.135
Clay,Hillary Clinton,Democrat,807,0.807
Cleburne,Bernie Sanders,Democrat,72,0.072
Cleburne,Hillary Clinton,Democrat,221,0.221
Coffee,Bernie Sanders,Democrat,389,0.389
Coffee,Hillary Clinton,Democrat,1493,1.493
Colbert,Bernie Sanders,Democrat,1342,1.342
Colbert,Hillary Clinton,Democrat,3879,3.879
Conecuh,Bernie Sanders,Democrat,544,0.544
Conecuh,Hillary Clinton,Democrat,2031,2.031
Coosa,Bernie Sanders,Democrat,125,0.125
Coosa,Hillary Clinton,Democrat,1012,1.012
Covington,Bernie Sanders,Democrat,188,0.188
Covington,Hillary Clinton,Democrat,737,0.737
Crenshaw,Bernie Sanders,Democrat,107,0.107
Crenshaw,Hillary Clinton,Democrat,908,0.908
Cullman,Bernie Sanders,Democrat,723,0.723
Cullman,Hillary Clinton,Democrat,1275,1.275
Dale,Bernie Sanders,Democrat,415,0.415
Dale,Hillary Clinton,Democrat,1544,1.544
Dallas,Bernie Sanders,Democrat,1774,1.774
Dallas,Hillary Clinton,Democrat,8577,8.577
DeKalb,Bernie Sanders,Democrat,667,0.667
DeKalb,Hillary Clinton,Democrat,1297,1.297
Elmore,Bernie Sanders,Democrat,694,0.694
Elmore,Hillary Clinton,Democrat,3019,3.019
Escambia,Bernie Sanders,Democrat,226,0.226
Escambia,Hillary Clinton,Democrat,2027,2.027
Etowah,Bernie Sanders,Democrat,1289,1.289
Etowah,Hillary Clinton,Democrat,4262,4.262
Fayette,Bernie Sanders,Democrat,148,0.148
Fayette,Hillary Clinton,Democrat,660,0.66
Franklin,Bernie Sanders,Democrat,767,0.767
Franklin,Hillary Clinton,Democrat,1233,1.233
Geneva,Bernie Sanders,Democrat,157,0.157
Geneva,Hillary Clinton,Democrat,544,0.544
Greene,Bernie Sanders,Democrat,213,0.213
Greene,Hillary Clinton,Democrat,2714,2.714
Hale,Bernie Sanders,Democrat,427,0.427
Hale,Hillary Clinton,Democrat,2426,2.426
Henry,Bernie Sanders,Democrat,163,0.163
Henry,Hillary Clinton,Democrat,1170,1.17
Houston,Bernie Sanders,Democrat,780,0.78
Houston,Hillary Clinton,Democrat,3044,3.044
Jackson,Bernie Sanders,Democrat,510,0.51
Jackson,Hillary Clinton,Democrat,1327,1.327
Jefferson,Bernie Sanders,Democrat,14319,14.319
Jefferson,Hillary Clinton,Democrat,67357,67.357
Lamar,Bernie Sanders,Democrat,173,0.173
Lamar,Hillary Clinton,Democrat,442,0.442
Lauderdale,Bernie Sanders,Democrat,1745,1.745
Lauderdale,Hillary Clinton,Democrat,3676,3.676
Lawrence,Bernie Sanders,Democrat,428,0.428
Lawrence,Hillary Clinton,Democrat,2047,2.047
Lee,Bernie Sanders,Democrat,2464,2.464
Lee,Hillary Clinton,Democrat,7137,7.137
Limestone,Bernie Sanders,Democrat,1120,1.12
Limestone,Hillary Clinton,Democrat,3199,3.199
Lowndes,Bernie Sanders,Democrat,330,0.33
Lowndes,Hillary Clinton,Democrat,3782,3.782
Macon,Bernie Sanders,Democrat,483,0.483
Macon,Hillary Clinton,Democrat,4293,4.293
Madison,Bernie Sanders,Democrat,8786,8.786
Madison,Hillary Clinton,Democrat,19995,19.995
Marengo,Bernie Sanders,Democrat,1092,1.092
Marengo,Hillary Clinton,Democrat,3590,3.59
Marion,Bernie Sanders,Democrat,256,0.256
Marion,Hillary Clinton,Democrat,567,0.567
Marshall,Bernie Sanders,Democrat,821,0.821
Marshall,Hillary Clinton,Democrat,1494,1.494
Mobile,Bernie Sanders,Democrat,5672,5.672
Mobile,Hillary Clinton,Democrat,28927,28.927
Monroe,Bernie Sanders,Democrat,205,0.205
Monroe,Hillary Clinton,Democrat,2438,2.438
Montgomery,Bernie Sanders,Democrat,4266,4.266
Montgomery,Hillary Clinton,Democrat,28650,28.65
Morgan,Bernie Sanders,Democrat,1345,1.345
Morgan,Hillary Clinton,Democrat,3897,3.897
Perry,Bernie Sanders,Democrat,389,0.389
Perry,Hillary Clinton,Democrat,2575,2.575
Pickens,Bernie Sanders,Democrat,453,0.453
Pickens,Hillary Clinton,Democrat,2326,2.326
Pike,Bernie Sanders,Democrat,379,0.379
Pike,Hillary Clinton,Democrat,2183,2.183
Randolph,Bernie Sanders,Democrat,328,0.328
Randolph,Hillary Clinton,Democrat,1236,1.236
Russell,Bernie Sanders,Democrat,988,0.988
Russell,Hillary Clinton,Democrat,4381,4.381
Shelby,Bernie Sanders,Democrat,3755,3.755
Shelby,Hillary Clinton,Democrat,6657,6.657
St. Clair,Bernie Sanders,Democrat,745,0.745
St. Clair,Hillary Clinton,Democrat,1808,1.808
Sumter,Bernie Sanders,Democrat,416,0.416
Sumter,Hillary Clinton,Democrat,2987,2.987
Talladega,Bernie Sanders,Democrat,782,0.782
Talladega,Hillary Clinton,Democrat,5561,5.561
Tallapoosa,Bernie Sanders,Democrat,308,0.308
Tallapoosa,Hillary Clinton,Democrat,2658,2.658
Tuscaloosa,Bernie Sanders,Democrat,3444,3.444
Tuscaloosa,Hillary Clinton,Democrat,12136,12.136
