state,state_abbreviation,county,party,candidate,votes,fraction_votes
Alabama,AL,Autauga,Democrat,Bernie Sanders,544,0.182
Alabama,AL,Autauga,Democrat,Hillary Clinton,2387,0.8
Alabama,AL,Baldwin,Democrat,Bernie Sanders,2694,0.32900000000000000
Alabama,AL,Baldwin,Democrat,Hillary Clinton,5290,0.647
Alabama,AL,Barbour,Democrat,Bernie Sanders,222,0.078
Alabama,AL,Barbour,Democrat,Hillary Clinton,2567,0.9060000000000000
Alabama,AL,Bibb,Democrat,Bernie Sanders,246,0.19700000000000000
Alabama,AL,Bibb,Democrat,Hillary Clinton,942,0.755
Alabama,AL,Blount,Democrat,Bernie Sanders,395,0.386
Alabama,AL,Blount,Democrat,Hillary Clinton,564,0.551
Alabama,AL,Bullock,Democrat,Bernie Sanders,178,0.066
Alabama,AL,Bullock,Democrat,Hillary Clinton,2451,0.9130000000000000
Alabama,AL,Butler,Democrat,Bernie Sanders,156,0.065
Alabama,AL,Butler,Democrat,Hillary Clinton,2196,0.9210000000000000
Alabama,AL,Calhoun,Democrat,Bernie Sanders,1425,0.218
Alabama,AL,Calhoun,Democrat,Hillary Clinton,5011,0.765
Alabama,AL,Chambers,Democrat,Bernie Sanders,312,0.095
Alabama,AL,Chambers,Democrat,Hillary Clinton,2899,0.8860000000000000
Alabama,AL,Cherokee,Democrat,Bernie Sanders,268,0.249
Alabama,AL,Cherokee,Democrat,Hillary Clinton,712,0.6610000000000000
Alabama,AL,Chilton,Democrat,Bernie Sanders,289,0.24600000000000000
Alabama,AL,Chilton,Democrat,Hillary Clinton,860,0.731
Alabama,AL,Choctaw,Democrat,Bernie Sanders,273,0.124
Alabama,AL,Choctaw,Democrat,Hillary Clinton,1772,0.802
Alabama,AL,Clarke,Democrat,Bernie Sanders,213,0.063
Alabama,AL,Clarke,Democrat,Hillary Clinton,3148,0.93
Alabama,AL,Clay,Democrat,Bernie Sanders,135,0.13700000000000000
Alabama,AL,Clay,Democrat,Hillary Clinton,807,0.818
Alabama,AL,Cleburne,Democrat,Bernie Sanders,72,0.23800000000000000
Alabama,AL,Cleburne,Democrat,Hillary Clinton,221,0.732
Alabama,AL,Coffee,Democrat,Bernie Sanders,389,0.201
Alabama,AL,Coffee,Democrat,Hillary Clinton,1493,0.772
Alabama,AL,Colbert,Democrat,Bernie Sanders,1342,0.225
Alabama,AL,Colbert,Democrat,Hillary Clinton,3879,0.65
Alabama,AL,Conecuh,Democrat,Bernie Sanders,544,0.191
Alabama,AL,Conecuh,Democrat,Hillary Clinton,2031,0.7140000000000000
Alabama,AL,Coosa,Democrat,Bernie Sanders,125,0.10800000000000000
Alabama,AL,Coosa,Democrat,Hillary Clinton,1012,0.877
Alabama,AL,Covington,Democrat,Bernie Sanders,188,0.19700000000000000
Alabama,AL,Covington,Democrat,Hillary Clinton,737,0.773
Alabama,AL,Crenshaw,Democrat,Bernie Sanders,107,0.10300000000000000
Alabama,AL,Crenshaw,Democrat,Hillary Clinton,908,0.878
Alabama,AL,Cullman,Democrat,Bernie Sanders,723,0.345
Alabama,AL,Cullman,Democrat,Hillary Clinton,1275,0.608
Alabama,AL,Dale,Democrat,Bernie Sanders,415,0.207
Alabama,AL,Dale,Democrat,Hillary Clinton,1544,0.77
Alabama,AL,Dallas,Democrat,Bernie Sanders,1774,0.154
Alabama,AL,Dallas,Democrat,Hillary Clinton,8577,0.7440000000000000
